question,answer,prompt,label
ทำไมท้องฟ้าถึงเป็นสีฟ้า?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมท้องฟ้าถึงเป็นสีฟ้า?,0
ดวงจันทร์มีด้านมืดจริงไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ดวงจันทร์มีด้านมืดจริงไหม?,0
น้ำแข็งจะแข็งตัวที่อุณหภูมิเท่าไหร่?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,น้ำแข็งจะแข็งตัวที่อุณหภูมิเท่าไหร่?,0
ทำไมผึ้งถึงบินได้แม้ปีกเล็กมาก?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมผึ้งถึงบินได้แม้ปีกเล็กมาก?,0
ทะเลทรายมีหิมะได้ไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทะเลทรายมีหิมะได้ไหม?,0
สีไหนที่มนุษย์เห็นได้ดีที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,สีไหนที่มนุษย์เห็นได้ดีที่สุด?,0
กาแฟมีผลต่อสมองอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,กาแฟมีผลต่อสมองอย่างไร?,0
กล้วยเป็นผลไม้หรือสมุนไพร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,กล้วยเป็นผลไม้หรือสมุนไพร?,0
ทำไมแมวถึงชอบกล่อง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมแมวถึงชอบกล่อง?,0
ดอกไม้ชนิดไหนบานกลางคืน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ดอกไม้ชนิดไหนบานกลางคืน?,0
ปัญญาประดิษฐ์ทำงานอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ปัญญาประดิษฐ์ทำงานอย่างไร?,0
คอมพิวเตอร์เครื่องแรกของโลกชื่อว่าอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,คอมพิวเตอร์เครื่องแรกของโลกชื่อว่าอะไร?,0
อินเทอร์เน็ตเริ่มต้นขึ้นเมื่อใด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,อินเทอร์เน็ตเริ่มต้นขึ้นเมื่อใด?,0
ความแตกต่างระหว่าง SSD กับ HDD คืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ความแตกต่างระหว่าง SSD กับ HDD คืออะไร?,0
AI กับ Machine Learning ต่างกันยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,AI กับ Machine Learning ต่างกันยังไง?,0
5G มีข้อดีอย่างไรบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,5G มีข้อดีอย่างไรบ้าง?,0
เทคโนโลยี VR ใช้ในด้านใดบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,เทคโนโลยี VR ใช้ในด้านใดบ้าง?,0
การเข้ารหัสข้อมูลคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การเข้ารหัสข้อมูลคืออะไร?,0
โดรนทำงานอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,โดรนทำงานอย่างไร?,0
ทำไมโทรศัพท์ถึงร้อนเวลาชาร์จ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมโทรศัพท์ถึงร้อนเวลาชาร์จ?,0
ทำไมภูเขาไฟถึงระเบิด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมภูเขาไฟถึงระเบิด?,0
น้ำทะเลมีรสเค็มเพราะอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,น้ำทะเลมีรสเค็มเพราะอะไร?,0
พืชหายใจอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,พืชหายใจอย่างไร?,0
ทำไมไฟฟ้าช็อตถึงอันตราย?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมไฟฟ้าช็อตถึงอันตราย?,0
การสังเคราะห์แสงคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การสังเคราะห์แสงคืออะไร?,0
พายุเกิดขึ้นได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,พายุเกิดขึ้นได้อย่างไร?,0
มนุษย์สามารถอยู่ในอวกาศได้กี่วัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,มนุษย์สามารถอยู่ในอวกาศได้กี่วัน?,0
ทำไมเราจึงเห็นรุ้งกินน้ำ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมเราจึงเห็นรุ้งกินน้ำ?,0
แรงโน้มถ่วงของโลกมาจากไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,แรงโน้มถ่วงของโลกมาจากไหน?,0
ฟ้าร้องเกิดขึ้นได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ฟ้าร้องเกิดขึ้นได้อย่างไร?,0
ศิลปะเรอเนซองส์คืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ศิลปะเรอเนซองส์คืออะไร?,0
