question,law,label
สัญญาหลักประกันทางธุรกิจต้องเป็นไปตามพระราชบัญญัติใด,พระราชบัญญัติหลักประกันทางธุรกิจ พ.ศ. 2558,0
การแก้ไขคำสั่งซื้อขายสินทรัพย์ดิจิทัลโดยรู้ว่าจะทำให้ราคาสินทรัพย์ดิจิทัลผิดไปจากสภาพปกติของตลาดสามารถทำได้หรือไม่,พระราชกำหนดการประกอบธุรกิจสินทรัพย์ดิจิทัล พ.ศ. 2561,0
ใครเป็นคนตรวจสอบผู้จัดการกองทุนสำรองเลี้ยงชีพ,พระราชบัญญัติกองทุนสำรองเลี้ยงชีพ พ.ศ. 2530,0
การจัดให้มีเงินสำรองประเภทต่างๆตามพระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 ต้องดำเนินการอย่างไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
บริษัทหลักทรัพย์ต้องมีทุนจดทะเบียนที่ชำระแล้วเท่าใด,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
หากบุคคลโอนทรัพย์สินของสมาคมที่เหลืออยู่ไปให้แก่บุคคลอื่นจะมีความผิดและต้องรับโทษอย่างไรบ้าง,พระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499,0
ความรับผิดชดใช้ค่าเสียหายตามมาตรา 173 พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535 เป็นอย่างไร,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535,0
แบบของบัตรประจำตัวพนักงานเจ้าหน้าที่ เป็นอย่างไร,พระราชบัญญัติสัญญาซื้อขายล่วงหน้า พ.ศ. 2546,0
หากหอการค้ามีการแบ่งปันผลกำไรให้แก่สมาชิกแล้วจะมีความผิดและต้องรับโทษอย่างไรบ้าง,พระราชบัญญัติหอการค้า พ.ศ. 2509,0
สิ่งที่ต้องคำนึงถึงในการออกหลักเกณฑ์เงื่อนไขการขอรับใบอนุญาตคืออะไร,พระราชบัญญัติการประกอบกิจการพลังงาน พ.ศ. 2550,0
