question,answer,Difficult,prompt,label
ทำไมท้องฟ้าถึงเป็นสีฟ้า?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมท้องฟ้าถึงเป็นสีฟ้า?,0
ดวงจันทร์มีด้านมืดจริงไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ดวงจันทร์มีด้านมืดจริงไหม?,0
น้ำแข็งจะแข็งตัวที่อุณหภูมิเท่าไหร่?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,น้ำแข็งจะแข็งตัวที่อุณหภูมิเท่าไหร่?,0
ทำไมผึ้งถึงบินได้แม้ปีกเล็กมาก?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมผึ้งถึงบินได้แม้ปีกเล็กมาก?,0
ทะเลทรายมีหิมะได้ไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทะเลทรายมีหิมะได้ไหม?,0
สีไหนที่มนุษย์เห็นได้ดีที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,สีไหนที่มนุษย์เห็นได้ดีที่สุด?,0
กาแฟมีผลต่อสมองอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,กาแฟมีผลต่อสมองอย่างไร?,0
กล้วยเป็นผลไม้หรือสมุนไพร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,กล้วยเป็นผลไม้หรือสมุนไพร?,0
ทำไมแมวถึงชอบกล่อง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมแมวถึงชอบกล่อง?,0
ดอกไม้ชนิดไหนบานกลางคืน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ดอกไม้ชนิดไหนบานกลางคืน?,0
ปัญญาประดิษฐ์ทำงานอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ปัญญาประดิษฐ์ทำงานอย่างไร?,0
คอมพิวเตอร์เครื่องแรกของโลกชื่อว่าอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,คอมพิวเตอร์เครื่องแรกของโลกชื่อว่าอะไร?,0
อินเทอร์เน็ตเริ่มต้นขึ้นเมื่อใด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,อินเทอร์เน็ตเริ่มต้นขึ้นเมื่อใด?,0
